Source path,Class name,Method name,Method signature,Cyclomatic complexity,Cognitive complexity,Max nesting depth,Line count,Parameter count,ABC score,Assignments,Branches,Conditions,Halstead volume,Halstead difficulty,Halstead estimated bugs
src/main/java/com/yourorg/AppendToReleaseNotes.java,com.yourorg.AppendToReleaseNotes,getInitialValue,"com.yourorg.AppendToReleaseNotes{name=getInitialValue,return=com.yourorg.AppendToReleaseNotes$Accumulator,parameters=[org.openrewrite.ExecutionContext]}",1,0,0,5,1,1.0,0,1,0,4.75,1.0,0.0
src/main/java/com/yourorg/AppendToReleaseNotes.java,com.yourorg.AppendToReleaseNotes,getScanner,"com.yourorg.AppendToReleaseNotes{name=getScanner,return=org.openrewrite.TreeVisitor<Generic{?}, org.openrewrite.ExecutionContext>,parameters=[com.yourorg.AppendToReleaseNotes$Accumulator]}",2,1,1,14,1,3.61,2,3,0,155.89,6.25,0.03
src/main/java/com/yourorg/AppendToReleaseNotes.java,com.yourorg.AppendToReleaseNotes,generate,"com.yourorg.AppendToReleaseNotes{name=generate,return=java.util.Collection<Generic{? extends org.openrewrite.SourceFile}>,parameters=[com.yourorg.AppendToReleaseNotes$Accumulator,org.openrewrite.ExecutionContext]}",2,1,1,14,2,9.0,0,9,0,157.02,6.88,0.04
src/main/java/com/yourorg/AppendToReleaseNotes.java,com.yourorg.AppendToReleaseNotes,getVisitor,"com.yourorg.AppendToReleaseNotes{name=getVisitor,return=org.openrewrite.TreeVisitor<Generic{?}, org.openrewrite.ExecutionContext>,parameters=[com.yourorg.AppendToReleaseNotes$Accumulator]}",2,1,1,20,1,8.12,1,8,1,209.22,8.53,0.05
src/main/java/com/yourorg/AssertEqualsToAssertThat.java,com.yourorg.AssertEqualsToAssertThat,getVisitor,"com.yourorg.AssertEqualsToAssertThat{name=getVisitor,return=org.openrewrite.TreeVisitor<Generic{?}, org.openrewrite.ExecutionContext>,parameters=[]}",3,4,1,40,0,36.26,9,35,3,944.0,28.19,0.3
src/main/java/com/yourorg/BootstrapIntoApplication.java,com.yourorg.BootstrapIntoApplication,getInitialValue,"com.yourorg.BootstrapIntoApplication{name=getInitialValue,return=com.yourorg.BootstrapIntoApplication$Accumulator,parameters=[org.openrewrite.ExecutionContext]}",1,0,0,5,1,1.0,0,1,0,4.75,1.0,0.0
src/main/java/com/yourorg/BootstrapIntoApplication.java,com.yourorg.BootstrapIntoApplication,getScanner,"com.yourorg.BootstrapIntoApplication{name=getScanner,return=org.openrewrite.TreeVisitor<Generic{?}, org.openrewrite.ExecutionContext>,parameters=[com.yourorg.BootstrapIntoApplication$Accumulator]}",1,0,0,17,1,5.0,0,5,0,114.22,3.14,0.02
src/main/java/com/yourorg/BootstrapIntoApplication.java,com.yourorg.BootstrapIntoApplication$BootstrapScanner,visitDocuments,"com.yourorg.BootstrapIntoApplication$BootstrapScanner{name=visitDocuments,return=org.openrewrite.yaml.tree.Yaml$Documents,parameters=[org.openrewrite.yaml.tree.Yaml$Documents,org.openrewrite.ExecutionContext]}",2,1,1,10,2,7.07,0,7,1,143.96,7.46,0.03
src/main/java/com/yourorg/BootstrapIntoApplication.java,com.yourorg.BootstrapIntoApplication$ApplicationScanner,visitDocuments,"com.yourorg.BootstrapIntoApplication$ApplicationScanner{name=visitDocuments,return=org.openrewrite.yaml.tree.Yaml$Documents,parameters=[org.openrewrite.yaml.tree.Yaml$Documents,org.openrewrite.ExecutionContext]}",2,1,1,10,2,7.07,0,7,1,139.32,7.07,0.03
src/main/java/com/yourorg/BootstrapIntoApplication.java,com.yourorg.BootstrapIntoApplication,generate,"com.yourorg.BootstrapIntoApplication{name=generate,return=java.util.Collection<Generic{? extends org.openrewrite.SourceFile}>,parameters=[com.yourorg.BootstrapIntoApplication$Accumulator,org.openrewrite.ExecutionContext]}",4,4,2,21,2,23.37,4,23,1,602.68,21.16,0.18
src/main/java/com/yourorg/BootstrapIntoApplication.java,com.yourorg.BootstrapIntoApplication,getVisitor,"com.yourorg.BootstrapIntoApplication{name=getVisitor,return=org.openrewrite.TreeVisitor<Generic{?}, org.openrewrite.ExecutionContext>,parameters=[com.yourorg.BootstrapIntoApplication$Accumulator]}",1,0,0,12,1,5.1,1,5,0,138.97,4.0,0.02
src/main/java/com/yourorg/BootstrapIntoApplication.java,com.yourorg.BootstrapIntoApplication$BootstrapVisitor,visitDocuments,"com.yourorg.BootstrapIntoApplication$BootstrapVisitor{name=visitDocuments,return=org.openrewrite.yaml.tree.Yaml$Documents,parameters=[org.openrewrite.yaml.tree.Yaml$Documents,org.openrewrite.ExecutionContext]}",3,2,1,10,2,3.0,0,3,0,55.51,3.43,0.01
src/main/java/com/yourorg/BootstrapIntoApplication.java,com.yourorg.BootstrapIntoApplication$ApplicationVisitor,visitDocuments,"com.yourorg.BootstrapIntoApplication$ApplicationVisitor{name=visitDocuments,return=org.openrewrite.yaml.tree.Yaml$Documents,parameters=[org.openrewrite.yaml.tree.Yaml$Documents,org.openrewrite.ExecutionContext]}",4,3,1,19,2,12.73,3,12,3,382.16,13.43,0.1
src/main/java/com/yourorg/ClassHierarchy.java,com.yourorg.ClassHierarchy,getVisitor,"com.yourorg.ClassHierarchy{name=getVisitor,return=org.openrewrite.TreeVisitor<Generic{?}, org.openrewrite.ExecutionContext>,parameters=[]}",4,4,2,30,0,14.18,2,14,1,422.83,14.75,0.11
src/main/java/com/yourorg/EqualsAvoidsNull.java,com.yourorg.EqualsAvoidsNull,beforeEquals,"com.yourorg.EqualsAvoidsNull{name=beforeEquals,return=boolean,parameters=[java.lang.String,java.lang.String]}",1,0,0,10,2,1.0,0,1,0,11.61,1.0,0.0
src/main/java/com/yourorg/EqualsAvoidsNull.java,com.yourorg.EqualsAvoidsNull,beforeNotNullEquals,"com.yourorg.EqualsAvoidsNull{name=beforeNotNullEquals,return=boolean,parameters=[java.lang.String,java.lang.String]}",2,1,0,9,2,1.41,0,1,1,27.0,2.5,0.01
src/main/java/com/yourorg/EqualsAvoidsNull.java,com.yourorg.EqualsAvoidsNull,after,"com.yourorg.EqualsAvoidsNull{name=after,return=boolean,parameters=[java.lang.String,java.lang.String]}",1,0,0,6,2,1.0,0,1,0,11.61,1.0,0.0
src/main/java/com/yourorg/EqualsAvoidsNull.java,com.yourorg.EqualsAvoidsNull$LiteralMatcher,matches,"com.yourorg.EqualsAvoidsNull$LiteralMatcher{name=matches,return=boolean,parameters=[org.openrewrite.java.tree.J]}",1,0,0,4,1,0.0,0,0,0,11.61,1.0,0.0
src/main/java/com/yourorg/FindSpringBeans.java,com.yourorg.FindSpringBeans,getVisitor,"com.yourorg.FindSpringBeans{name=getVisitor,return=org.openrewrite.TreeVisitor<Generic{?}, org.openrewrite.ExecutionContext>,parameters=[]}",1,0,0,23,0,17.12,2,17,0,361.21,11.08,0.08
src/main/java/com/yourorg/NoCollectionMutation.java,com.yourorg.NoCollectionMutation,isListMutationSelect,"com.yourorg.NoCollectionMutation{name=isListMutationSelect,return=boolean,parameters=[org.openrewrite.Cursor]}",11,2,1,24,1,14.46,2,14,3,434.27,14.41,0.11
src/main/java/com/yourorg/NoCollectionMutation.java,com.yourorg.NoCollectionMutation,inDefensiveCopy,"com.yourorg.NoCollectionMutation{name=inDefensiveCopy,return=boolean,parameters=[org.openrewrite.Cursor]}",4,3,1,16,1,5.2,1,5,1,157.89,7.86,0.04
src/main/java/com/yourorg/NoCollectionMutation.java,com.yourorg.NoCollectionMutation,getVisitor,"com.yourorg.NoCollectionMutation{name=getVisitor,return=org.openrewrite.TreeVisitor<Generic{?}, org.openrewrite.ExecutionContext>,parameters=[]}",9,10,2,55,0,35.07,5,34,7,1166.72,32.3,0.37
src/main/java/com/yourorg/NoGuavaListsNewArrayList.java,com.yourorg.NoGuavaListsNewArrayList,getVisitor,"com.yourorg.NoGuavaListsNewArrayList{name=getVisitor,return=org.openrewrite.TreeVisitor<Generic{?}, org.openrewrite.ExecutionContext>,parameters=[]}",4,3,1,79,0,44.01,1,44,0,951.53,25.06,0.28
src/main/java/com/yourorg/SimplifyTernary.java,com.yourorg.SimplifyTernary$SimplifyTernaryTrueFalse,before,"com.yourorg.SimplifyTernary$SimplifyTernaryTrueFalse{name=before,return=boolean,parameters=[boolean]}",2,1,0,5,1,0.0,0,0,0,11.61,1.0,0.0
src/main/java/com/yourorg/SimplifyTernary.java,com.yourorg.SimplifyTernary$SimplifyTernaryTrueFalse,after,"com.yourorg.SimplifyTernary$SimplifyTernaryTrueFalse{name=after,return=boolean,parameters=[boolean]}",1,0,0,5,1,0.0,0,0,0,2.0,0.5,0.0
src/main/java/com/yourorg/SimplifyTernary.java,com.yourorg.SimplifyTernary$SimplifyTernaryFalseTrue,before,"com.yourorg.SimplifyTernary$SimplifyTernaryFalseTrue{name=before,return=boolean,parameters=[boolean]}",2,1,0,5,1,0.0,0,0,0,11.61,1.0,0.0
src/main/java/com/yourorg/SimplifyTernary.java,com.yourorg.SimplifyTernary$SimplifyTernaryFalseTrue,after,"com.yourorg.SimplifyTernary$SimplifyTernaryFalseTrue{name=after,return=boolean,parameters=[boolean]}",1,0,0,5,1,1.0,0,0,1,4.75,1.0,0.0
src/main/java/com/yourorg/TrackJavaTodos.java,com.yourorg.TrackJavaTodos,getVisitor,"com.yourorg.TrackJavaTodos{name=getVisitor,return=org.openrewrite.TreeVisitor<Generic{?}, org.openrewrite.ExecutionContext>,parameters=[]}",1,0,0,11,0,2.0,0,2,0,77.71,2.55,0.01
src/main/java/com/yourorg/TrackJavaTodosFile.java,com.yourorg.TrackJavaTodosFile,getInitialValue,"com.yourorg.TrackJavaTodosFile{name=getInitialValue,return=com.yourorg.TrackJavaTodosFile$TodoComments,parameters=[org.openrewrite.ExecutionContext]}",1,0,0,5,1,1.0,0,1,0,4.75,1.0,0.0
src/main/java/com/yourorg/TrackJavaTodosFile.java,com.yourorg.TrackJavaTodosFile,getScanner,"com.yourorg.TrackJavaTodosFile{name=getScanner,return=org.openrewrite.TreeVisitor<Generic{?}, org.openrewrite.ExecutionContext>,parameters=[com.yourorg.TrackJavaTodosFile$TodoComments]}",1,0,0,6,1,1.0,0,1,0,8.0,1.0,0.0
src/main/java/com/yourorg/TrackJavaTodosFile.java,com.yourorg.TrackJavaTodosFile,generate,"com.yourorg.TrackJavaTodosFile{name=generate,return=java.util.Collection<Generic{? extends org.openrewrite.SourceFile}>,parameters=[com.yourorg.TrackJavaTodosFile$TodoComments,org.openrewrite.ExecutionContext]}",1,0,0,6,2,1.0,0,1,0,4.75,1.0,0.0
src/main/java/com/yourorg/TrackJavaTodosFile.java,com.yourorg.TrackJavaTodosFile,getVisitor,"com.yourorg.TrackJavaTodosFile{name=getVisitor,return=org.openrewrite.TreeVisitor<Generic{?}, org.openrewrite.ExecutionContext>,parameters=[com.yourorg.TrackJavaTodosFile$TodoComments]}",1,0,0,6,1,1.0,0,1,0,8.0,1.0,0.0
src/main/java/com/yourorg/TrackTodos.java,com.yourorg.TrackTodos,getInitialValue,"com.yourorg.TrackTodos{name=getInitialValue,return=com.yourorg.TrackTodos$TodoComments,parameters=[org.openrewrite.ExecutionContext]}",1,0,0,5,1,1.0,0,1,0,4.75,1.0,0.0
src/main/java/com/yourorg/TrackTodos.java,com.yourorg.TrackTodos,getScanner,"com.yourorg.TrackTodos{name=getScanner,return=org.openrewrite.TreeVisitor<Generic{?}, org.openrewrite.ExecutionContext>,parameters=[com.yourorg.TrackTodos$TodoComments]}",1,0,0,6,1,1.0,0,1,0,8.0,1.0,0.0
src/main/java/com/yourorg/TrackTodos.java,com.yourorg.TrackTodos,generate,"com.yourorg.TrackTodos{name=generate,return=java.util.Collection<Generic{? extends org.openrewrite.SourceFile}>,parameters=[com.yourorg.TrackTodos$TodoComments,org.openrewrite.ExecutionContext]}",1,0,0,7,2,1.0,0,1,0,4.75,1.0,0.0
src/main/java/com/yourorg/TrackTodos.java,com.yourorg.TrackTodos,getVisitor,"com.yourorg.TrackTodos{name=getVisitor,return=org.openrewrite.TreeVisitor<Generic{?}, org.openrewrite.ExecutionContext>,parameters=[com.yourorg.TrackTodos$TodoComments]}",1,0,0,6,1,1.0,0,1,0,8.0,1.0,0.0
src/main/java/com/yourorg/UpdateConcoursePipeline.java,com.yourorg.UpdateConcoursePipeline,getVisitor,"com.yourorg.UpdateConcoursePipeline{name=getVisitor,return=org.openrewrite.TreeVisitor<Generic{?}, org.openrewrite.ExecutionContext>,parameters=[]}",11,19,3,50,0,31.89,9,30,6,1174.29,34.91,0.4
src/main/java/com/yourorg/UseSdkManJavaVersion.java,com.yourorg.UseSdkManJavaVersion,getInitialValue,"com.yourorg.UseSdkManJavaVersion{name=getInitialValue,return=com.yourorg.UseSdkManJavaVersion$Accumulator,parameters=[org.openrewrite.ExecutionContext]}",1,0,0,5,1,1.0,0,1,0,4.75,1.0,0.0
src/main/java/com/yourorg/UseSdkManJavaVersion.java,com.yourorg.UseSdkManJavaVersion,getScanner,"com.yourorg.UseSdkManJavaVersion{name=getScanner,return=org.openrewrite.TreeVisitor<Generic{?}, org.openrewrite.ExecutionContext>,parameters=[com.yourorg.UseSdkManJavaVersion$Accumulator]}",2,3,1,20,1,9.22,2,9,0,328.93,13.94,0.09
src/main/java/com/yourorg/UseSdkManJavaVersion.java,com.yourorg.UseSdkManJavaVersion,generate,"com.yourorg.UseSdkManJavaVersion{name=generate,return=java.util.Collection<Generic{? extends org.openrewrite.SourceFile}>,parameters=[com.yourorg.UseSdkManJavaVersion$Accumulator,org.openrewrite.ExecutionContext]}",3,2,1,15,2,7.28,0,7,2,137.89,6.4,0.03
src/main/java/com/yourorg/UseSdkManJavaVersion.java,com.yourorg.UseSdkManJavaVersion,getVisitor,"com.yourorg.UseSdkManJavaVersion{name=getVisitor,return=org.openrewrite.TreeVisitor<Generic{?}, org.openrewrite.ExecutionContext>,parameters=[com.yourorg.UseSdkManJavaVersion$Accumulator]}",4,3,1,23,1,12.04,0,12,1,335.0,11.26,0.08
src/main/java/com/yourorg/table/ClassHierarchyReport.java,com.yourorg.table.ClassHierarchyReport,ClassHierarchyReport,"com.yourorg.table.ClassHierarchyReport{name=<constructor>,return=com.yourorg.table.ClassHierarchyReport,parameters=[org.openrewrite.Recipe]}",1,0,0,6,1,1.0,0,1,0,8.0,0.5,0.0
src/main/java/com/yourorg/table/SpringBeansReport.java,com.yourorg.table.SpringBeansReport,SpringBeansReport,"com.yourorg.table.SpringBeansReport{name=<constructor>,return=com.yourorg.table.SpringBeansReport,parameters=[org.openrewrite.Recipe]}",1,0,0,5,1,1.0,0,1,0,8.0,0.5,0.0
src/main/java/com/yourorg/table/TodoCommentsReport.java,com.yourorg.table.TodoCommentsReport,TodoCommentsReport,"com.yourorg.table.TodoCommentsReport{name=<constructor>,return=com.yourorg.table.TodoCommentsReport,parameters=[org.openrewrite.Recipe]}",1,0,0,6,1,1.0,0,1,0,8.0,0.5,0.0
src/main/java/com/yourorg/trait/TodoComment.java,com.yourorg.trait.TodoComment$Matcher,test,"com.yourorg.trait.TodoComment$Matcher{name=test,return=com.yourorg.trait.TodoComment,parameters=[org.openrewrite.Cursor]}",6,8,1,19,1,5.39,2,4,3,235.23,8.68,0.05
src/test/java/com/yourorg/AppendToReleaseNotesTest.java,com.yourorg.AppendToReleaseNotesTest,defaults,"com.yourorg.AppendToReleaseNotesTest{name=defaults,return=void,parameters=[org.openrewrite.test.RecipeSpec]}",1,0,0,4,1,2.0,0,2,0,15.51,1.0,0.0
src/test/java/com/yourorg/AppendToReleaseNotesTest.java,com.yourorg.AppendToReleaseNotesTest,editExistingReleaseNotes,"com.yourorg.AppendToReleaseNotesTest{name=editExistingReleaseNotes,return=void,parameters=[]}",1,0,0,19,0,4.0,0,4,0,57.11,2.78,0.01
src/test/java/com/yourorg/AppendToReleaseNotesTest.java,com.yourorg.AppendToReleaseNotesTest,createNewReleaseNotes,"com.yourorg.AppendToReleaseNotesTest{name=createNewReleaseNotes,return=void,parameters=[]}",1,0,0,16,0,5.0,0,5,0,62.51,3.33,0.01
src/test/java/com/yourorg/AssertEqualsToAssertThatTest.java,com.yourorg.AssertEqualsToAssertThatTest,defaults,"com.yourorg.AssertEqualsToAssertThatTest{name=defaults,return=void,parameters=[org.openrewrite.test.RecipeSpec]}",1,0,0,7,1,5.0,0,5,0,48.11,2.5,0.01
src/test/java/com/yourorg/AssertEqualsToAssertThatTest.java,com.yourorg.AssertEqualsToAssertThatTest,twoArgument,"com.yourorg.AssertEqualsToAssertThatTest{name=twoArgument,return=void,parameters=[]}",1,0,0,28,0,2.0,0,2,0,15.51,1.0,0.0
src/test/java/com/yourorg/AssertEqualsToAssertThatTest.java,com.yourorg.AssertEqualsToAssertThatTest,withDescription,"com.yourorg.AssertEqualsToAssertThatTest{name=withDescription,return=void,parameters=[]}",1,0,0,27,0,2.0,0,2,0,15.51,1.0,0.0
